text,timediff,PTAB,PL1,PL2,PL3,PL4,PR1,PR2,PR3,PR4,B1P,B2P,B3P,B4P,B5P,15K,sourceID_encoded,BodyGroup_to_encoded,BodyGroup_from_encoded
"Measurement finished OK. (Protocol: 'C+ COR HI-RES 15-20 MIN DELAY', Sequence: '%SiemensSeq%\fl3d_vibe')",0.0,-680600,,,,,,,,,,,,,,,10,6,1
Patient table has started moving. Absolute PTAB Position: -1617050,38.0,-1617050,,,,,,,,,,,,,,,4,6,1
Measurement control information: measurement has been stopped by user. ID: syngo.MR.MRI_MSR_NlsMessageId.Resources.MSRmsg.MRI_MSR_I_34_USER_STOP,38.0,-1617050,,,,,,,,,,,,,,,12,6,1
"YAxisUpPossible: 1, YAxisDownPossible: 1, argument values are boolean. ZAxisOutPossible: 0, ZAxisInPossible: 1, argument values are boolean.",47.0,-1617050,,,,,,,,,,,,,,,5,6,1
A patient has been registered successfully (99db6aca9dac2a046e949fee1aa13624b78148a4).,51.0,-1617050,,,,,,,,,,,,,,,8,6,1
"Coil change event was handled successfully. (Coil context: 'default'. Coil plug codes: 'ff,0,0,0,0,1315,1314,131c,131d,0,0'. Connected coil elements: BC,HE2,4,NE2,SP1-8.)",73.0,-1617050,,,,,,,,,,,,,,,1,6,1
"YAxisUpPossible: 1, YAxisDownPossible: 1, argument values are boolean. ZAxisOutPossible: 0, ZAxisInPossible: 0, argument values are boolean.",122.0,-1617050,,,,,,,,,,,,,,,5,6,1
"YAxisUpPossible: 1, YAxisDownPossible: 1, argument values are boolean. ZAxisOutPossible: 0, ZAxisInPossible: 0, argument values are boolean.",133.0,-1617050,,,,,,,,,,,,,,,5,6,1
"Coil change event was handled successfully. (Coil context: 'default'. Coil plug codes: 'ff,0,0,0,0,0,0,131c,131d,0,0'. Connected coil elements: BC,SP1-8.)",154.0,-1617050,,,,,,,,,,,,,,,1,6,1
"Coil change event was handled successfully. (Coil context: 'default'. Coil plug codes: 'ff,0,0,0,0,0,0,131c,131d,0,0'. Connected coil elements: BC,SP1-8.)",177.0,-1617050,,,,,,,,,,,,,,,1,6,1
Patient table has started moving. Absolute PTAB Position: 1150,349.0,1150,,,,,,,,,,,,,,,4,6,1
"YAxisUpPossible: 1, YAxisDownPossible: 1, argument values are boolean. ZAxisOutPossible: 0, ZAxisInPossible: 0, argument values are boolean.",350.0,1150,,,,,,,,,,,,,,,5,6,1
"YAxisUpPossible: 1, YAxisDownPossible: 1, argument values are boolean. ZAxisOutPossible: 0, ZAxisInPossible: 1, argument values are boolean.",360.0,1150,,,,,,,,,,,,,,,5,6,1
"Coil change event was handled successfully. (Coil context: 'default'. Coil plug codes: 'ff,0,0,0,0,0,0,131c,131d,0,0'. Connected coil elements: BC,SP1-8.)",372.0,1150,,,,,,,,,,,,,,,1,6,1
"Coil change event was handled successfully. (Coil context: 'default'. Coil plug codes: 'ff,230a,0,0,0,0,0,131c,131d,0,0'. Connected coil elements: BC,SP1-8,18K.)",375.0,1150,,,,,,,,,,,,,,,1,6,1
Patient table has started moving. Absolute PTAB Position: -300,377.0,-300,,,,,,,,,,,,,,,4,6,1
"YAxisUpPossible: 0, YAxisDownPossible: 0, argument values are boolean. ZAxisOutPossible: 1, ZAxisInPossible: 1, argument values are boolean.",382.0,-300,,,,,,,,,,,,,,,5,6,1
Patient has been positioned,383.0,-300,,,,,,,,,,,,,,,7,6,1
