text,timediff,PTAB,PL1,PL2,PL3,PL4,PR1,PR2,PR3,PR4,B1P,B2P,B3P,B4P,B5P,15K,sourceID_encoded,BodyGroup_to_encoded,BodyGroup_from_encoded
"Measurement finished OK. (Protocol: 'COR PD FS', Sequence: '%SiemensSeq%\tse')",0.0,-648200,,,,,,,,,,,,,,,10,3,6
Patient table has started moving. Absolute PTAB Position: -1573100,7.0,-1573100,,,,,,,,,,,,,,,4,3,6
"YAxisUpPossible: 1, YAxisDownPossible: 1, argument values are boolean. ZAxisOutPossible: 0, ZAxisInPossible: 1, argument values are boolean.",16.0,-1573100,,,,,,,,,,,,,,,5,3,6
"YAxisUpPossible: 1, YAxisDownPossible: 1, argument values are boolean. ZAxisOutPossible: 0, ZAxisInPossible: 0, argument values are boolean.",37.0,-1573100,,,,,,,,,,,,,,,5,3,6
"Coil change event was handled successfully. (Coil context: 'default'. Coil plug codes: 'ff,230a,0,0,0,0,0,131c,131d,0,0'. Connected coil elements: BC,SP1-8,18K.)",44.0,-1573100,,,,,,,,,,,,,,,1,3,6
"Coil change event was handled successfully. (Coil context: 'default'. Coil plug codes: 'ff,0,0,0,0,0,0,131c,131d,0,0'. Connected coil elements: BC,SP1-8.)",51.0,-1573100,,,,,,,,,,,,,,,1,3,6
"Coil change event was handled successfully. (Coil context: 'default'. Coil plug codes: 'ff,0,0,0,0,13161315,1314,131c,131d,0,0'. Connected coil elements: BC,HE1-4,NE1,2,SP1-8.)",74.0,-1573100,,,,,,,,,,,,,,,1,3,6
"Coil change event was handled successfully. (Coil context: 'default'. Coil plug codes: 'ff,0,0,0,0,1315,1314,131c,131d,0,0'. Connected coil elements: BC,HE2,4,NE2,SP1-8.)",75.0,-1573100,,,,,,,,,,,,,,,1,3,6
Measurement control information: measurement has been stopped by user. ID: syngo.MR.MRI_MSR_NlsMessageId.Resources.MSRmsg.MRI_MSR_I_34_USER_STOP,308.0,-1573100,,,,,,,,,,,,,,,12,3,6
Patient table has started moving. Absolute PTAB Position: 500,616.0,500,,,,,,,,,,,,,,,4,3,6
"YAxisUpPossible: 1, YAxisDownPossible: 1, argument values are boolean. ZAxisOutPossible: 0, ZAxisInPossible: 0, argument values are boolean.",617.0,500,,,,,,,,,,,,,,,5,3,6
"YAxisUpPossible: 1, YAxisDownPossible: 1, argument values are boolean. ZAxisOutPossible: 0, ZAxisInPossible: 1, argument values are boolean.",629.0,500,,,,,,,,,,,,,,,5,3,6
A patient has been registered successfully (b826d8831183ef01febd1257dd544d2dba5d776c).,648.0,500,,,,,,,,,,,,,,,8,3,6
"Coil change event was handled successfully. (Coil context: 'default'. Coil plug codes: 'ff,0,0,0,0,13161315,1314,131c,131d,0,0'. Connected coil elements: BC,HE1-4,NE1,2,SP1-8.)",728.0,500,,,,,,,,,,,,,,,1,3,6
Patient table has started moving. Absolute PTAB Position: 250,729.0,250,,,,,,,,,,,,,,,4,3,6
"YAxisUpPossible: 0, YAxisDownPossible: 0, argument values are boolean. ZAxisOutPossible: 1, ZAxisInPossible: 1, argument values are boolean.",732.0,250,,,,,,,,,,,,,,,5,3,6
Patient table has started moving. Absolute PTAB Position: -260500,732.0,-260500,,,,,,,,,,,,,,,4,3,6
"YAxisUpPossible: 0, YAxisDownPossible: 0, argument values are boolean. ZAxisOutPossible: 1, ZAxisInPossible: 1, argument values are boolean.",733.0,-260500,,,,,,,,,,,,,,,5,3,6
Patient has been positioned,734.0,-260500,,,,,,,,,,,,,,,7,3,6
Patient table has started moving. Absolute PTAB Position: -299850,734.0,-299850,,,,,,,,,,,,,,,4,3,6
"YAxisUpPossible: 0, YAxisDownPossible: 0, argument values are boolean. ZAxisOutPossible: 1, ZAxisInPossible: 1, argument values are boolean.",740.0,-299850,,,,,,,,,,,,,,,5,3,6
"Start prepare. (Protocol: 'AAHScout', Sequence: '%SiemensSeq%\AALScout')",760.0,-299850,,,,,,,,,,,,,,,9,3,6
0,760.0,-299850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0,760.0,-299850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0,760.0,-299850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0,760.0,-299850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0,760.0,-299850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0,760.0,-299850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0,760.0,-299850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0,760.0,-299850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
